"_id","_labels","createdAt","expanded","id","label","origin","position","visible","_start","_end","_type","citation","citations","createdAt","origin"
,,,,,,,,,"115797","115790","is negatively coupled with","","[""undefined""]","","teacher"
,,,,,,,,,"115800","115809","is negatively coupled with","","[""undefined""]","","teacher"
,,,,,,,,,"115799","115802","is a type of","","","","teacher"
,,,,,,,,,"119867","115801","is positively coupled with","https://app.perusall.com/courses/i-and-c-sci-5-lec-a-glbl-dsrpt-inf-tech-35610-348762330/the-carbon-impact-of-artificial-intelligence-or-nature-machine-intelligence?assignmentId=EYgZFqTy9XTx9dEQB&part=1","[""https://app.perusall.com/courses/i-and-c-sci-5-lec-a-glbl-dsrpt-inf-tech-35610-348762330/the-carbon-impact-of-artificial-intelligence-or-nature-machine-intelligence?assignmentId=EYgZFqTy9XTx9dEQB&part=1""]","2023-05-17T20:47:04.968Z",""
,,,,,,,,,"115802","115792","is positively coupled with","","","","teacher"
,,,,,,,,,"115801","115809","is negatively coupled with","","[""undefined""]","","teacher"
,,,,,,,,,"119872","119867","is positively coupled with","https://www.forbes.com/sites/forbestechcouncil/2020/10/20/how-is-big-data-analytics-using-machine-learning/?sh=33ab23bf71d2","[""https://www.forbes.com/sites/forbestechcouncil/2020/10/20/how-is-big-data-analytics-using-machine-learning/?sh=33ab23bf71d2""]","2023-05-17T20:51:17.518Z",""
,,,,,,,,,"115803","115809","is positively coupled with","","[""undefined""]","","teacher"
,,,,,,,,,"119867","119879","is positively coupled with","https://wandb.ai/ivangoncharov/AVs-report/reports/The-Role-Of-Machine-Learning-In-Autonomous-Vehicles--VmlldzoyNTExMDE3#:~:text=The%20role%20of%20machine%20learning%20in%20autonomous%20vehicles%20is%20to,and%20to%20predict%20their%20behavior.","[""https://wandb.ai/ivangoncharov/AVs-report/reports/The-Role-Of-Machine-Learning-In-Autonomous-Vehicles--VmlldzoyNTExMDE3#:~:text=The%20role%20of%20machine%20learning%20in%20autonomous%20vehicles%20is%20to,and%20to%20predict%20their%20behavior.""]","2023-05-17T20:50:37.988Z",""
,,,,,,,,,"119871","119873","is positively coupled with","https://dgtlinfra.com/cloud-internet-of-things-iot/#:~:text=Cloud%20Internet%20of%20Things%20(IoT,(AI)%20and%20analytics%20capabilities.","[""https://dgtlinfra.com/cloud-internet-of-things-iot/#:~:text=Cloud%20Internet%20of%20Things%20(IoT,(AI)%20and%20analytics%20capabilities.""]","2023-05-17T20:50:04.199Z",""
,,,,,,,,,"115802","115808","is positively coupled with","","","","teacher"
,,,,,,,,,"119873","119866","is positively coupled with","https://aws.amazon.com/what-is/data-center/","[""https://aws.amazon.com/what-is/data-center/""]","2023-05-17T20:49:31.422Z",""
,,,,,,,,,"115802","115791","is positively coupled with","","","","teacher"
,,,,,,,,,"115804","115802","is a type of","","","","teacher"
,,,,,,,,,"119877","115808","is negatively coupled with","https://app.perusall.com/courses/i-and-c-sci-5-lec-a-glbl-dsrpt-inf-tech-35610-348762330/the-story-of-stuff-project-the-story-of-electronics?assignmentId=2uF4iKg7zjXWzDTzB&part=1","[""https://app.perusall.com/courses/i-and-c-sci-5-lec-a-glbl-dsrpt-inf-tech-35610-348762330/the-story-of-stuff-project-the-story-of-electronics?assignmentId=2uF4iKg7zjXWzDTzB&part=1""]","2023-05-17T20:52:25.402Z",""
,,,,,,,,,"119872","119866","is positively coupled with","https://www.datacenterknowledge.com/archives/2013/09/05/big-data-what-it-means-for-data-center-infrastructure","[""https://www.datacenterknowledge.com/archives/2013/09/05/big-data-what-it-means-for-data-center-infrastructure""]","2023-05-17T20:51:39.572Z",""
,,,,,,,,,"115803","115788","is negatively coupled with","","","","teacher"
